참가번호,영상 이름,이미지 이름,참가자 이름,곡 이름,장르명,미션,각오
1,video1,image1,iji,ALiCENjOaK,FANTASY POP,ALiCE - DJMAX RESPECT V,비글로날먹했습니다죄송합니다CEX
2,video2,image2,단거리대공무기 운용병,Horizon Blue of maple,HARDSTYLE,Horizon Blue - Lanota,바빠서 챙기지 못한 것들이 아쉽습니다
3,video3,image3,로게리 제이,SSAL RUSH,TWITTER RECKLESS,GOLD RUSH - beatmania IIDX 14 GOLD,"10년의 세월, 난 기다렸네"
4,video4,image4,개사기노래로개사하기,†메이플의 소악마 쌀숭이~라디오†,COMEDY,†渚の小悪魔ラヴリィ~レイディオ† - 유비트 소서,술 한 잔 마셨습니다... 대회가 잘 안 되어도 좋습니다. 하지만 쌀숭이 하나만 기억해주세요. 진심을 다해 전합니다.
5,video5,image5,늙고병든겜안분,NORMALI 2 ZATION,CHANG-MAD,bass 2 bass - 유비트,시간도 없고 경험도 없고 박자감도 없고 미적감각도 없고
6,video6,image6,주황색물통에들어가는파란물,극고창섭 (극심한 고통 신창섭),ORIENTAL BALLAD,Far East Princess - DJMAX RESPECT,안녕하세요 뮤4l버t3r입니다 이 대회가 끝나고 그에게 청혼할 예정이며 합동 창드컵을 진행할 것입니다 많은 응원 부탁 드립니다 합의금과 싸움도전은 주최자 메일로 주세요 감사합니다
7,video7,image7,美波,더더더더더더더더더더,和 ROCK,打打打打打打打打打打 - 리플렉비트 그루빈,개사가 뒤지게 안먹어서 영상을 못 만들었는데 이걸 고른 절 죽여버리고싶습니다.
8,video8,image8,나는귀엽긔견이정말로정말로좋은데어떡하지,Pirates,POP ROCK,Winners by CHUCK - DJMAX V EXTENSION 3,최선을 다했습니다
9,video9,image9,근데 영상 완성 가능함?,MAPLE BURNT,BURNING METAL,WITCH HUNT - GITADORA Tri-Boost,진짜 완성 못 할 뻔했네요. 다음부턴 이런 명의 안 쓰겠습니다.
10,video10,image10,이름없음,약속해요,PROMISE,YUBIKIRI-GENMAN - Deemo,답도없음…
11,video11,image11,리듬슝좍 엘 페일,Re:Daydream,BAND ROCK,Daydream - DJMAX V EXTENSION 2,"리듬 게임 곡으로 대회에 도전 해보는 게 처음이라, 가능한 만큼 열심히 만들어봤는데, 좋게 재밌게 봐주시면 감사하겠습니다."
12,video12,image12,포터 리빈슨,R-GAME (Demo Ver.),DISRESPECT,SINister Evolution - DJMAX RAY,【＝◈︿◈＝】
13,video13,image13,김창섭의건드림모든걸바꿔놓아랑은기록말살,4p0st4sy,JAPANESQUE,sakura mirage - 리플렉비트 그루빈,제 이전 순번 사람이 자기가 리겜통나무 다 들어서 리겜컵 64강 만든다고 합니다.
14,video14,image14,DJ하아,never change,Lo-fi POP,bossa gabba - 팝픈뮤직 해명 리들스,한 마디
15,video15,image15,비밀번호는문자숫자특수문자의조합으로,사탄을 위하여,NEOCLASSICAL METAL,Lachryma<Re:Queen’M> - 사운드볼텍스 III 그래비티 워즈,지금 우리에게는 던파금지법이 당장 필요해요
16,video16,image16,해적들일루와잇!,쌀값 이미지 매출 지표,KAWAII FUTURE BASS,Melonaid - DJMAX V EXTENSION 2,아오 현실 UFC...
17,video17,image17,판교넥슨330번버스모란시장4번출구로,The Message from Reseonjok,PIANO DRUM 'n BASS,The Message - Arcaea,님들 라면드시지마세요 체질이라는게바뀝니다 예를들어 초식공룡과 육식공룡이잇는데요 초식공룡처럼힘약해질려면 라면을드시고 육식공룡처럼 힘쌔지고싶으시면 라면드시지마세요
18,video18,image18,김낙,검은 사과,ALTERNATIVE ROCK,Black Apple - GITADORA FUZZ-UP,하던 거 했습니다
