참가자 번호,이미지 파일 이름,아티스트 명의,참가 부문,참가자의 주문,참가 각오
1,image1,iji,REWRITE,(직접 선택) ALiCE from DJMAX RESPECT V,SAX
2,image2,단거리대공무기 운용병,REWRITE,"Phigros 수록곡, 바다 테마, 느린 곡

슝좍피티의 추천 :
Horizon Blue from Lanota
Tripping Jumping from beatmania IIDX 31 EPOLIS
Apocalypse from Lanota",.
3,image3,로게리 제이,REWRITE,(직접 선택) GOLD RUSH from beatmania IIDX 14 GOLD ,우으... 리겜은 안해봤지만 노력해볼게요
4,image4,개사기노래로개사하기,REWRITE,(직접 선택) †渚の小悪魔ラヴリィ~レイディオ† from 유비트 소서,미안하다 이 곡은 내가 가져간다
5,image5,늙고병든겜안분,REWRITE,(직접 선택) bass 2 bass from 유비트,끼뺫
6,image6,주황색물통에들어가는파란물,REWRITE,(직접 선택) Far East Princess from DJMAX RESPECT,우승을하면고향에있는그녀에게물통을선물할거야
7,image7,美波,REWRITE,(직접 선택) 打打打打打打打打打打 from 비트스트림,한국에서 대회는 처음이지만 열심히 해보겠습니다.
8,image8,나는귀엽긔견이정말로정말로좋은데어떡하지,REWRITE,(직접 선택) Winners from DJMAX V EXTENSION 3,리듬게임 안해봐서 아무것도 모르지만 열심히 하겠3
9,image9,근데 영상 완성 가능함?,REWRITE,(직접 선택) WITCH HUNT from Guitardora Tri-Boost,아니오? 일단 신청하는 거지. 감당은 미래의 내가 할 거야.
10,image10,이름없음,REWRITE,"piano, violin, english vocal

슝좍피티의 추천 :
Magnolia from Deemo
True Blue from 유비트 소서
Harmonia from Pop'n music 라피스토리아",내용없음
11,image11,리듬슝좍 엘 페일,REWRITE,(직접 선택) DayDream from DJMAX V EXTENSION 2,리겜 곡에 도전해보는건 처음인데 열심히 잘 만들어보겠습니다!
12,image12,포터 리빈슨,EXTENDED ,"힙합노래 3개

슝좍피티의 추천 :
SINister Evolution from DJMAX RAY
QQQ from beatmania IIDX 5th style
199024club -Re:BounceKiller- beatmania IIDX 23 copula",[ = ◈ヘ◈ = ]
13,image13,김창섭의건드림모든걸바꿔놓아랑은기록말살,EXTENDED ,"180bpm이하, 금관악기(또는 퓨처베이스), inst only

슝좍피티의 추천 :
チューリングの跡 from maimai DX UNiVERSE PLUS
Jazz is Rad from 유비트 클랜
Juicy Gossip from Cytus II",미수또사신수컨셉이펙트는너프엔버는킹류갓정프레이오브랑도르피시방칭호삭제후큐브50%가격인상판교직원들열심히하고있습니다김창섭의건드림모든걸바꿔놓아정상화의신김창섭김창섭의건드림뭐든걸바꿔놓아리부트서
14,image14,DJ하아,EXTENDED ,"kawaii Future bass, bpm200, sexy

슝좍피티의 추천 :
The Last Page from BMS
bossa gabba from pop'n music 해명 리들즈
ELYSIUM from beatmania IIDX 32 Pinky Crush",리듬게임은 못참지
15,image15,비밀번호는문자숫자특수문자의조합으로,EXTENDED ,(직접 선택) Lachryma<Re:Queen’M> from 사운드 볼텍스 III 그래비티 워즈,저는 제작자 던파금지법을 지지합니다
16,image16,해적들일루와잇!,EXTENDED ,"BPM140, Future Bass, J-Pop

슝좍피티의 추천 :
Melonaid from from DJMAX V EXTENSION 2
Exchange Place from beatmania IIDX 23 copula
silly love from beatmania IIDX 27 HEROIC VERSE",1등을 한다면 고백할게♡
17,image17,판교넥슨330번버스모란시장4번출구로,EXTENDED ,"Kawaii bass, Electronic Sound, Powerful

슝좍피티의 추천 :
The Message from Arcaea
系ぎて from maimai DX BUDDiES
Pitter-patter from DJMAX V EXTENSION 5",일단 주최자랑 야스베이비 하겠습니다
18,image18,김낙,EXTENDED ,"Grayscale, Piano, Rock

슝좍피티의 추천 :
Black Apple from GITADORA FUZZ-UP
The Least 100sec from GuitarFreaks 10th & drummania 9th
Carrot Carrot from DJMAX V EXTENSION 5",리듬게임곡은 아는 게 없습니다
