참가자 번호,썸네일 이미지 파일 이름,정체 이미지 파일 이름,아티스트 명의,장르명,제출곡,미션
1,image1,Identity1,iji,FANTASY POP,ALiCENjOaK,ALiCE - DJMAX RESPECT V
2,image2,Identity2,단거리대공무기 운용병,HARDSTYLE,Horizon Blue of maple,Horizon Blue - Lanota
3,image3,Identity3,로게리 제이,TWITTER RECKLESS,SSAL RUSH,GOLD RUSH - beatmania IIDX 14 GOLD
4,image4,Identity4,개사기노래로개사하기,COMEDY,†메이플의 소악마 쌀숭이~라디오†,†渚の小悪魔ラヴリィ~レイディオ† - 유비트 소서
5,image5,Identity5,늙고병든겜안분,CHANG-MAD,NORMALI 2 ZATION,bass 2 bass - 유비트
6,image6,Identity6,주황색물통에들어가는파란물,ORIENTAL BALLAD,극고창섭 (극심한 고통 신창섭),Far East Princess - DJMAX RESPECT
7,image7,Identity7,美波,和 ROCK,더더더더더더더더더더,打打打打打打打打打打 - 리플렉비트 그루빈
8,image8,Identity8,나는귀엽긔견이정말로정말로좋은데어떡하지,POP ROCK,Pirates,Winners by CHUCK - DJMAX V EXTENSION 3
9,image9,Identity9,근데 영상 완성 가능함?,BURNING METAL,MAPLE BURNT,WITCH HUNT - GITADORA Tri-Boost
10,image10,Identity10,이름없음,PROMISE,약속해요,YUBIKIRI-GENMAN - Deemo
11,image11,Identity11,리듬슝좍 엘 페일,BAND ROCK,Re:Daydream,Daydream - DJMAX V EXTENSION 2
12,image12,Identity12,포터 리빈슨,DISRESPECT,R-GAME (Demo Ver.),SINister Evolution - DJMAX RAY
13,image13,Identity13,김창섭의건드림모든걸바꿔놓아랑은기록말살,JAPANESQUE,4p0st4sy,sakura mirage - 리플렉비트 그루빈
14,image14,Identity14,DJ하아,Lo-fi POP,never change,bossa gabba - 팝픈뮤직 해명 리들스
15,image15,Identity15,비밀번호는문자숫자특수문자의조합으로,NEOCLASSICAL METAL,사탄을 위하여,Lachryma<Re:Queen’M> - 사운드볼텍스 III 그래비티 워즈
16,image16,Identity16,해적들일루와잇!,KAWAII FUTURE BASS,쌀값 이미지 매출 지표,Melonaid - DJMAX V EXTENSION 2
17,image17,Identity17,판교넥슨330번버스모란시장4번출구로,PIANO DRUM 'n BASS,The Message from Reseonjok,The Message - Arcaea
18,image18,Identity18,김낙,ALTERNATIVE ROCK,검은 사과,Black Apple - GITADORA FUZZ-UP
