참가번호,영상 이름,이미지,참가자 이름,곡 이름,장르명,미션,1위표,2위표,3위표,4위표,5위표,6위표,7위표,8위표,9위표,10위표
1,video1,image1,iji,ALiCENjOaK,FANTASY POP,ALiCE - DJMAX RESPECT V,1,1,1,0,0,0,0,0,0,0
2,video2,image2,단거리대공무기 운용병,Horizon Blue of maple,HARDSTYLE,Horizon Blue - Lanota,1,1,1,0,0,0,0,0,0,0
3,video3,image3,로게리 제이,SSAL RUSH,TWITTER RECKLESS,GOLD RUSH - beatmania IIDX 14 GOLD,1,1,1,0,0,0,0,0,0,0
4,video4,image4,개사기노래로개사하기,†메이플의 소악마 쌀숭이~라디오†,COMEDY,†渚の小悪魔ラヴリィ~レイディオ† - 유비트 소서,1,1,1,0,0,0,0,0,0,0
5,video5,image5,늙고병든겜안분,NORMALI 2 ZATION,CHANG-MAD,bass 2 bass - 유비트,1,1,1,0,0,0,0,0,0,0
6,video6,image6,주황색물통에들어가는파란물,극고창섭 (극심한 고통 신창섭),ORIENTAL BALLAD,Far East Princess - DJMAX RESPECT,1,1,1,0,0,0,0,0,0,0
7,video7,image7,美波,더더더더더더더더더더,和 ROCK,打打打打打打打打打打 - 리플렉비트 그루빈,1,1,1,0,0,0,0,0,0,0
8,video8,image8,나는귀엽긔견이정말로정말로좋은데어떡하지,Pirates,POP ROCK,Winners by CHUCK - DJMAX V EXTENSION 3,1,1,1,0,0,0,0,0,0,0
9,video9,image9,근데 영상 완성 가능함?,MAPLE BURNT,BURNING METAL,WITCH HUNT - GITADORA Tri-Boost,1,1,1,0,0,0,0,0,0,0
10,video10,image10,이름없음,약속해요,PROMISE,YUBIKIRI‐GENMAN - Deemo,1,1,1,0,0,0,0,0,0,0
11,video11,image11,리듬슝좍 엘 페일,Re:Daydream,BAND ROCK,Daydream DJMAX V EXTENSION 2,1,1,1,0,0,0,0,0,0,0
12,video12,image12,포터 리빈슨,R-GAME (Demo Ver.),DISRESPECT,SINister Evolution - DJMAX RAY,1,1,1,0,0,0,0,0,0,0
13,video13,image13,김창섭의건드림모든걸바꿔놓아랑은기록말살,4p0st4sy,JAPANESQUE,sakura mirage - 리플렉비트 그루빈,1,1,1,0,0,0,0,0,0,0
14,video14,image14,DJ하아,never change,Lo-fi POP,bossa gabba - 팝픈뮤직 해명 리들스,1,1,1,0,0,0,0,0,0,0
15,video15,image15,비밀번호는문자숫자특수문자의조합으로,사탄을 위하여,NEOCLASSICAL METAL,Lachryma<Re:Queen’M> - 사운드볼텍스 III 그래비티 워즈,1,1,1,0,0,0,0,0,0,0
16,video16,image16,해적들일루와잇!,쌀값 이미지 매출 지표,KAWAII FUTURE BASS,Melonaid - DJMAX V EXTENSION 2,1,1,1,0,0,0,0,0,0,0
17,video17,image17,판교넥슨330번버스모란시장4번출구로,The Message from Reseonjok,PIANO DRUM 'n BASS,The Message - Arcaea,1,1,1,0,0,0,0,0,0,0
18,video18,image18,김낙,검은 사과,ALTERNATIVE ROCK,Black Apple - GITADORA FUZZ-UP,1,1,1,0,0,0,0,0,0,0
